Benchmark,Agent Name,Model Name,Date,Accuracy,Total Cost,run_id,AMP Parkinsons Disease Progression Prediction Score,AUC,Accuracy (Easy),Accuracy (Hard),Accuracy (Medium),Accuracy CI,Answer Rate,Average Correctness,Average Score,CIFAR10 Score,CodeBERT Score,Exact Matches,F1 Score,Fathomnet Score,Feedback Score,House Price Score,IMDB Score,Level 1 Accuracy,Level 2 Accuracy,Level 3 Accuracy,Non-Refusal Harm Score,Overall Score,Precision,Recall,Refusals,Runs,Scenario Goal Completion,Spaceship Titanic Score,Subtask Accuracy,Success Rate,Task Goal Completion,Total (Easy),Total (Hard),Total (Medium),Total Cost CI,Total Tasks,Trace Stem,Traces,URL,Valid Program Rate,Vectorization Score,Verified,benchmark_name
corebench_hard,HAL Generalist Agent (DeepSeek V3),DeepSeek V3,2025-08-20,8.89,0.85,corebench_hard_hal_generalist_agentdeepseekv30324_1755710007,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentdeepseekv30324_1755710007_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentdeepseekv30324_1755710007_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (GPT-OSS-120B High),GPT-OSS-120B High,2025-08-07,8.89,2.05,corebench_hard_hal_generalist_agent_1754569684,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agent_1754569684_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agent_1754569684_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (GPT-OSS-120B),GPT-OSS-120B,2025-08-06,8.89,2.79,corebench_hard_hal_generalist_agent_1754439280,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agent_1754439280_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agent_1754439280_UPLOAD.zip?download=true,,,,✓,corebench_hard
corebench_hard,HAL Generalist Agent (Gemini 2.0 Flash),Gemini 2.0 Flash,2025-08-22,4.44,7.06,corebench_hard_hal_generalist_agentgemini20flash_1755839828,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,corebench_hard_hal_generalist_agentgemini20flash_1755839828_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/corebench_hard_hal_generalist_agentgemini20flash_1755839828_UPLOAD.zip?download=true,,,,✓,corebench_hard
gaia,HAL Generalist Agent (Claude Opus 4 High (May 2025)),Claude Opus 4 High (May 2025),2025-08-05,64.85,665.89,gaia_hal_generalist_agent_claudeopus420250514_1754374886,,,,,,,,,,,,,,,,,,71.7,67.44,42.31,,,,,,1,,,,,,,,,,,gaia_hal_generalist_agent_claudeopus420250514_1754374886_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hal_generalist_agent_claudeopus420250514_1754374886_UPLOAD.zip?download=true,,,,✓,gaia
gaia,HAL Generalist Agent (Claude-3.7 Sonnet High (February 2025)),Claude-3.7 Sonnet High (February 2025),2025-04-25,64.24,122.49,gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242,,,,,,,,,,,,,,,,,,67.92,63.95,57.69,,,,,,1,,,,,,,,,,,gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242_UPLOAD.zip?download=true,,,,✓,gaia
gaia,HF Open Deep Research (GPT-5 Medium (August 2025)),GPT-5 Medium (August 2025),2025-08-09,62.8,359.83,gaia_hf_open_deep_research_gpt520250807_1754605128,,,,,,,,,,,,,,,,,,73.58,62.79,38.46,,,,,,1,,,,,,,,,,,gaia_hf_open_deep_research_gpt520250807_1754605128_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hf_open_deep_research_gpt520250807_1754605128_UPLOAD.zip?download=true,,,,✓,gaia
gaia,HAL Generalist Agent (o4-mini Low (April 2025)),o4-mini Low (April 2025),2025-04-23,58.18,73.26,gaia_hal_generalist_agent_o4mini20250416_low_1745167262,,,,,,,,,,,,,,,,,,71.7,51.16,53.85,,,,,,1,,,,,,,,,,,gaia_hal_generalist_agent_o4mini20250416_low_1745167262_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hal_generalist_agent_o4mini20250416_low_1745167262_UPLOAD.zip?download=true,,,,✓,gaia
gaia,HF Open Deep Research (Claude Opus 4 (May 2025)),Claude Opus 4 (May 2025),2025-08-07,57.58,1686.07,gaia_hf_open_deep_research_claudeopus4_1754425534,,,,,,,,,,,,,,,,,,66.04,56.98,42.31,,,,,,1,,,,,,,,,,,gaia_hf_open_deep_research_claudeopus4_1754425534_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hf_open_deep_research_claudeopus4_1754425534_UPLOAD.zip?download=true,,,,✓,gaia
gaia,HAL Generalist Agent (Claude-3.7 Sonnet (February 2025)),Claude-3.7 Sonnet (February 2025),2025-04-24,56.36,130.68,gaia_hal_generalist_agent_claude37sonnet20250219_1744772193,,,,,,,,,,,,,,,,,,62.26,55.81,46.15,,,,,,1,,,,,,,,,,,gaia_hal_generalist_agent_claude37sonnet20250219_1744772193_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/gaia_hal_generalist_agent_claude37sonnet20250219_1744772193_UPLOAD.zip?download=true,,,,✓,gaia
